Keyword,Attribute,Actual Attribute,Pros,Cons
memory ,space,space,space,space
Android,KitKat,KitKat,KitKat,KitKat
Looks,Slim,Slim,Sleek and slim,Heavy and big
internal,nt,low,,Low internal memory space
internal,memory,memory,memory,memory
internal,not,low,,Low internal memory space
internal,memory,memory,memory,memory
video,calling,,Video calling is good enough,video calling not up to the mark
connectivity,2g,2g,Speed in 2G browsing is good,Speed in 2G browsing is not good
internal,limited,low,,Low internal memory space
internal,memory,memory,memory,memory
internet,speed,Speed,Internet speed is good,Browsing is slow
sound,quality,Quality,Good sound quality,Poor sound quality
touch,response,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
sound,quality,Quality,Good sound quality,Poor sound quality
sound,clear,Clarity,Good sound quality,Poor sound quality
Front ,quality,Front camera,Good front camera quality,Poor front camera quality
Front ,camera,Front camera,Good front camera quality,No front camera
Front ,good,Front camera,Good front camera quality,Poor front camera quality
applications,games,,Apps run smoothly,Apps don't run smoothly and hangs
games,hanging,Hang,No hanging while gaming,Hangs while playing games
hanging,play,gaming,No lag issue while gaming,Phone lags while gaming
internal,200 mb,200 mb,200 mb,200 mb
internal,memory,memory,memory,memory
internal,only,low,,Low internal memory space
memory ,200 mb,200 mb,200 mb,200 mb
sound,quality,Quality,Good sound quality,Poor sound quality
cheap,price,Price,It's worth the price,It's not worth the price
cheap,price,Price,It's worth the price,It's not worth the price
touch,lag,lag,Touch screen has no lag,Touch screen has lags and hangs
touch,speed,speed,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
internal,163 mb,163 mb,163 mb,163 mb
internal,memory,memory,memory,memory
internal,just,low,,Low internal memory space
memory ,163 mb,163 mb,163 mb,163 mb
touch,sensors,sensor,Touch screen is highly sensitive and responsive,Touch is not sensitive 
sound,effects,,Good sound quality,Poor sound quality
expandable,32 GB,32GB,32GB,32GB
storage,expandable,Expandabale,Expandabale,Expandabale
internal,163 mb,163 mb,163 mb,163 mb
internal,memory,memory,memory,memory
internal,just,low,,Low internal memory space
storage,163 mb,,,
features,wifi,Wi-Fi,Wi-Fi,Wi-Fi
sound,quality,Quality,Good sound quality,Poor sound quality
touch,smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Screen,Touch,Touch,Touch is smooth and fast,Touch is not smooth
cheap,cost,Price,It's worth the price,It's not worth the price
video,clarity,Clarity,Smooth and clear  video recording quality ,Video recording quality not good
Android,Background,,,
Display,Color,Colour,Colour,Colour
Screen,touch,Touch,Touch is smooth and fast,Touch is not smooth
games,lags,lags,No hanging while gaming,Hangs while playing games
smooth ,operations,Operations,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
video,streaming,streaming,Video streaming is awesome,Lags while streaming videos
Display,bright,Bright,Display brightness is perfect,Display brightness is not adequate
games,lag,lags,No hanging while gaming,Hangs while playing games
Camera,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Screen,resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
internal,seems,seems,,
internal,memory,memory,memory,memory
video,clarity,Clarity,Smooth and clear  video recording quality ,Video recording quality not good
build,quality,Quality,Good body built quality,Body built not good
picture,crisp,Clarity,Camera and picture quality is good,Camera and picture quality is poor
sound,quality,Quality,Good sound quality,Poor sound quality
connectivity,3g,3g,Speed in 3G browsing is good,Speed in 3G browsing is not good
internet,connectivity,Connectivity,No issues in browsing and internet connectivity,Browsing and connectivity problems
built ,quality,Quality,Good body built quality,Body built not good
fast,shipping,Shipping,Shipping,Shipping
Screen,resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
build,quality,Quality,Good body built quality,Body built not good
touch,smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
video,blinking,,,
Processor,fast,fast,fast,fast
video,recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
video ,quality,Quality,Smooth and clear  video recording quality ,Video recording quality not good
video ,recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
video ,awesome,,Smooth and clear  video recording quality ,Video recording quality not good
video ,superb,,Smooth and clear  video recording quality ,Video recording quality not good
video ,recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
memory, space,space,space,space
internal,memory,memory,memory,memory
Display,HD,HD,Suberb display clarity,Display quality not good
sound,quality,Quality,Good sound quality,Poor sound quality
Screen,resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
fast,multi applications,multi applications,,
Processor,fast,fast,fast,fast
features,battery,battery,,
internal,awesome,memory,memory,memory
internal,memory,memory,memory,memory
Audio,quality,Quality,Good sound quality,Poor sound quality
features,economy,economy,,
Camera,clarity,Clarity,Camera and picture quality is good,Camera and picture quality is poor
touch,sensitivity,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
sound,low,Low,Good sound quality,Poor sound quality
Screen,resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
Flash,light,Quality,Flash performance is good,Poor flash quality
service,center,centre,centre,centre
touch,smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
interface,NAVI,NAVI,NAVI,NAVI
day,great,great,Day light picture quality is superb,day light picture quality is poor
day,light,day light,Day light picture quality is superb,day light picture quality is poor
fast,shutter,shutter,,
gaming,response,response,Excellent for gaming,Not good for gaming
sound,quality,Quality,Good sound quality,Poor sound quality
touch,response,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
smooth ,fluid,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
touch,smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
picture,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
build,quality,Quality,Good body built quality,Body built not good
video,support,support,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
games,lag,lags,No hanging while gaming,Hangs while playing games
build,quality,Quality,Good body built quality,Body built not good
interface,android,android,android,android
Camera,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
build,quality,Quality,Good body built quality,Body built not good
cheap,rate,rate,It's worth the price,It's not worth the price
smooth ,operation,Operations,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
build,quality,Quality,Good body built quality,Body built not good
fast,performance,performance,performance,performance
smooth ,fluid,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Display,HD,HD,Suberb display clarity,Display quality not good
built ,quality,Quality,Good body built quality,Body built not good
picture,quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
games,multitasking,multitasking,multitasking ,multitasking
heavy,apps,Apps,Apps,Apps
UI,user friendly,user friendly,UI is simple and smooth,UI is complicated and not smooth
Camera,16 MP,16 MP,,
internal,not,low,,Low internal memory space
internal,memory,memory,memory,memory
UI,Amigo,Amigo,Amigo,Amigo
video,clarity,Clarity,Smooth and clear  video recording quality ,Video recording quality not good
fast,processor ,Processor,Processor,Processor
internal,tall,memory,memory,memory
internal,memory,memory,memory,memory
hardware,sharp,sharp,,
Android,TouchWiz,,,
cheap,amazon,amazon,It's worth the price,It's not worth the price
charging,heating,heat,No heating issues,Battery gets overheated
Camera,crystal,Clarity,Camera and picture quality is good,Camera and picture quality is poor
Screen,fast,,Touch is smooth and fast,Touch is not smooth
amazon,service,service,Awesome customer service and delivery by Amazon,Amazon service and delivery not good
Display,clear,Clear,Suberb display clarity,Display quality not good
Camera,HD,HDR Mode,HDR Mode is excellent,HDR Mode is not good
software,space,,,
storage,expanded,Expandabale,Expandabale,Expandabale
amazon,defective,Defective,Perfect product delivered,Defective product delivered
sound,Quality,Quality,Good sound quality,Poor sound quality
service,centers,centre,centre,centre
amazon,delivery,Delivery,Quick Delivery,Delayed Delivery
fast,3G,3G,3G,3G
Screen,Lag,Lag,Lag,Lag
headphone,Jack,Jack,Earphone Sound quality is superb,Earphone sound quality is poor
Bluetooth,responsive,Fast,Fast bluetooth sharing,Bluetooth range and sharing is slow
fast,delivery,Delivery,Delivery,Delivery
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
fast,4G,4G,4G,4G
Apps,battery,battery,Apps run smoothly,Apps don't run smoothly and hangs
Apps,heart-rate scanner,heart-rate scanner,Apps run smoothly,Apps don't run smoothly and hangs
sound,Quality,Quality,Good sound quality,Poor sound quality
Display,Gorilla,Gorilla,Gorilla display is superb,Gorilla display not upto the mark
build,Quality,Quality,Good body built quality,Body built not good
features,HDR,HDR,HDR,HDR
software,HDR,HDR,HDR,HDR
video ,supported,support,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
video ,recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
fast,auto focus,auto focus,auto focus,auto focus
fast,processors,Processor,Processor,Processor
responsive,customer service,,,
video,qualities,Quality,Smooth and clear  video recording quality ,Video recording quality not good
Camera,pictures,image,Camera and picture quality is good,Camera and picture quality is poor
picture,clear,Clarity,Camera and picture quality is good,Camera and picture quality is poor
Screen,quality,Quality,Quality,Quality
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
lags,apps,Apps,No hanging even after installing lot of apps,Phone is hanging after many app installation
touch,silky,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
internet,slow,slow,Internet speed is good,Browsing is slow
lag,multitasking,multitasking,No lag while multitasking,Lags while multi tasking
touch,respone,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
touch,sensitive,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
touch,hangs,,Touch screen has no lag,Touch screen has lags and hangs
fast,last,last,,
touch,sensitivity,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
heavy,touchwiz,touchwiz,touchwiz,touchwiz
lags,multi tasking,multitasking,No lag while multitasking,Lags while multi tasking
internal,4 gb,4GB,4GB,4GB
internal,memory,memory,memory,memory
memory ,4 gb,4 GB,4 GB,4 GB
cheap,price,Price,It's worth the price,It's not worth the price
fast,delivery,Delivery,Delivery,Delivery
features,zigzag stitch,zigzag stitch,zigzag stitch,zigzag stitch
heavy,touchwiz,touchwiz,touchwiz,touchwiz
amazon,service,service,Awesome customer service and delivery by Amazon,Amazon service and delivery not good
amazon,service,service,Awesome customer service and delivery by Amazon,Amazon service and delivery not good
